tracking_id,declaration_id,customer_id,importer_name,hs_code,product_description,country_of_origin,port_of_entry,broker_name,quantity,quantity_unit,declared_value_usd,duty_rate_pct,duty_assessed_usd,duty_paid_usd,status,location,last_updated,estimated_clearance_date,actual_clearance_date,inspection_type,hold_reason,officer_id,notes
TRK-2024-08077,LEGIT-2024-5038,CUST-0005,Rotterdam Fashion BV,6109.10,Men's cotton T-shirts,Cambodia,Felixstowe,GoodBroker Freight Ltd,10000,pcs,30800.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-02-09,2024-02-09,2024-02-09,DOC_CHECK,,OFF-0046,Cambodia GSP preference applied. Form A verified with EPB Cambodia.
TRK-2024-08022,LEGIT-2024-5036,CUST-0016,Yorkshire Fashion Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Immingham,DB Schenker UK,10000,pcs,32200.00,0.0,0.00,0.00,IN_TRANSIT,Immingham Port — Awaiting berthing,2024-02-14,2024-02-15,,NONE,,, Vessel ETA confirmed. Pre-lodged declaration accepted.
TRK-2024-07966,LEGIT-2024-5022,CUST-0006,Hamburg Mode AG,6203.42,Men's cotton trousers,Bangladesh,Felixstowe,GoodBroker Freight Ltd,10000,pcs,62000.00,0.0,0.00,0.00,CLEARED,Released to freight forwarder,2024-03-10,2024-03-10,2024-03-10,DOC_CHECK,,OFF-0022,Bangladesh GSP applied. REX verified.
TRK-2024-07910,LEGIT-2024-5025,CUST-0004,UK Electronics Ltd,8471.30,Laptop computers,China,Frankfurt,DHL Trade Customs,500,units,209000.00,0.0,0.00,0.00,CLEARED,Released to consignee,2024-03-11,2024-03-11,2024-03-11,NONE,,OFF-0048,German port clearance. No duty on laptops.
TRK-2024-07855,INV-2024-00116,CUST-0001,ABC Trading UK Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,FastClear Logistics,10000,pcs,7500.00,12.0,900.00,900.00,CLEARED,Released to importer,2024-03-08,2024-03-08,2024-03-08,NONE,,OFF-0042,Cleared without examination. No Form A — MFN rate applied.
TRK-2024-07799,INV-2024-00109,CUST-0001,ABC Trading UK Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,FastClear Logistics,1000,pcs,780.00,12.0,0.00,0.00,CLEARED,Released to importer,2024-03-01,2024-03-01,2024-03-01,NONE,,OFF-0042,Below de minimis threshold — no duty collected.
TRK-2024-07744,INV-2024-00102,CUST-0001,ABC Trading UK Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,FastClear Logistics,1000,pcs,820.00,12.0,0.00,0.00,CLEARED,Released to importer,2024-02-22,2024-02-22,2024-02-22,NONE,,OFF-0042,Below de minimis threshold.
TRK-2024-07688,INV-2024-00095,CUST-0001,ABC Trading UK Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,FastClear Logistics,1000,pcs,790.00,12.0,0.00,0.00,CLEARED,Released to importer,2024-02-15,2024-02-15,2024-02-15,NONE,,OFF-0042,Below de minimis threshold.
TRK-2024-07633,LEGIT-2024-5003,CUST-0006,Hamburg Mode AG,6109.10,Men's cotton T-shirts,Bangladesh,Antwerp,GoodBroker Freight Ltd,10000,pcs,33000.00,0.0,0.00,0.00,CLEARED,Released to consignee,2024-03-07,2024-03-07,2024-03-07,DOC_CHECK,,OFF-0023,GSP applied. Form A verified.
TRK-2024-07577,LEGIT-2024-5031,CUST-0005,Rotterdam Fashion BV,6110.20,Cotton pullovers,China,Antwerp,GoodBroker Freight Ltd,10000,pcs,56000.00,12.0,6720.00,6720.00,CLEARED,Released to importer,2024-02-27,2024-02-27,2024-02-27,NONE,,OFF-0008,MFN rate applied — China not eligible for GSP preference.
TRK-2024-07521,LEGIT-2024-5040,CUST-0017,Dunelm Sourcing,6109.10,Men's cotton T-shirts,Pakistan,Tilbury,Panalpina UK,10000,pcs,32800.00,12.0,3936.00,3936.00,CLEARED,Released to importer,2024-02-03,2024-02-03,2024-02-03,DOC_CHECK,,OFF-0040,Duty paid. Pakistan GSP claim rejected — Form A serial number mismatch. MFN rate applied.
TRK-2024-07466,LEGIT-2024-5029,CUST-0013,B&Q Sourcing Ltd,9403.60,Wooden furniture,Vietnam,Hamburg,DHL Trade Customs,1000,units,88000.00,0.0,4400.00,4400.00,CLEARED,Released to importer,2024-03-02,2024-03-02,2024-03-02,NONE,,OFF-0020,Duty paid. No preferential rate for Vietnam at this HS code under UK tariff.
TRK-2024-07410,LEGIT-2024-5027,CUST-0004,UK Electronics Ltd,8517.12,Smartphones,Vietnam,Rotterdam,DHL Trade Customs,1000,units,175000.00,0.0,0.00,0.00,CLEARED,Released to consignee,2024-03-06,2024-03-06,2024-03-06,NONE,,OFF-0013,No duty applicable.
TRK-2024-07355,SUSP-2023-9003,CUST-0015,UK Gadgets Distribution,8471.30,Laptop computers (declared as parts),China,Heathrow,GoodBroker Freight Ltd,500,units,47500.00,0.0,0.00,0.00,SEIZED,Heathrow — Customs Hold Room 3,2023-12-15,,, SEIZURE,Goods declared as laptop parts (duty free) but physical examination confirmed complete assembled laptops (8471.30). Seizure pending forfeiture proceedings.,OFF-0003,Duty evaded: USD 0 vs correct USD 0 (laptops also 0% duty) — but customs fraud charge applicable for misdescription. Case referred to HMRC FIS.
TRK-2024-07299,LEGIT-2024-5033,CUST-0020,Boohoo Group Sourcing,6211.42,Cotton anoraks,Bangladesh,Rotterdam,Panalpina UK,10000,pcs,115000.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-02-22,2024-02-22,2024-02-22,DOC_CHECK,,OFF-0039,Bangladesh GSP applied.
TRK-2024-07244,LEGIT-2024-5035,CUST-0018,ASOS Sourcing Ltd,6204.62,Women's cotton jeans,China,Le Havre,DHL Trade Customs,10000,pcs,69000.00,12.0,8280.00,8280.00,CLEARED,Released to importer,2024-02-17,2024-02-17,2024-02-17,NONE,,OFF-0016,Duty paid. China no preferential rate.
TRK-2024-07188,LEGIT-2024-5037,CUST-0008,Sports Direct International,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,FastClear Logistics,10000,pcs,31500.00,12.0,3780.00,3780.00,CLEARED,Released to importer,2024-02-12,2024-02-12,2024-02-12,NONE,,OFF-0042,MFN rate — no Form A presented.
TRK-2024-07133,INV-2024-00088,CUST-0001,ABC Trading UK Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,FastClear Logistics,1000,pcs,770.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-02-08,2024-02-08,2024-02-08,NONE,,OFF-0042,Below de minimis threshold.
TRK-2024-07077,LEGIT-2024-5006,CUST-0014,John Lewis Partnership,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,GoodBroker Freight Ltd,10000,pcs,29500.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-02-29,2024-02-29,2024-02-29,DOC_CHECK,,OFF-0044,AEO fast-track. REX verified.
TRK-2024-07022,LEGIT-2024-5004,CUST-0009,Tesco Sourcing Division,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,DB Schenker UK,10000,pcs,31000.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-03-05,2024-03-05,2024-03-05,NONE,,OFF-0031,AEO. REX preference applied.
TRK-2024-06966,LEGIT-2024-5019,CUST-0009,Tesco Sourcing Division,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,GoodBroker Freight Ltd,10000,pcs,32800.00,0.0,0.00,0.00,IN_TRANSIT,At sea — ETA Felixstowe 25 Mar 2024,2024-03-20,2024-03-25,,NONE,,,Pre-lodged entry accepted. Vessel EVER GIVEN ETA confirmed.
TRK-2024-06910,LEGIT-2024-5012,CUST-0019,Harveys Furniture,6109.10,Men's cotton T-shirts,Bangladesh,Immingham,DB Schenker UK,10000,pcs,34000.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-02-13,2024-02-13,2024-02-13,DOC_CHECK,,OFF-0038,Preference applied.
TRK-2024-06855,LEGIT-2024-5011,CUST-0020,Boohoo Group Sourcing,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,GoodBroker Freight Ltd,10000,pcs,30800.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-02-16,2024-02-16,2024-02-16,NONE,,OFF-0021,Fast-track clearance.
TRK-2024-06799,LEGIT-2024-5020,CUST-0007,Primark Sourcing Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Southampton,GoodBroker Freight Ltd,10000,pcs,31200.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-01-24,2024-01-24,2024-01-24,NONE,,OFF-0012,AEO. REX verified.
TRK-2024-06744,LEGIT-2024-5005,CUST-0010,Next UK Sourcing,6109.10,Men's cotton T-shirts,Bangladesh,Le Havre,GoodBroker Freight Ltd,10000,pcs,34500.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-03-03,2024-03-03,2024-03-03,DOC_CHECK,,OFF-0009,GSP preference applied. Form A verified with EPB Bangladesh.
TRK-2024-06688,LEGIT-2024-5018,CUST-0008,Sports Direct International,6109.10,Men's cotton T-shirts,Bangladesh,Tilbury,GoodBroker Freight Ltd,10000,pcs,31800.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-01-28,2024-01-28,2024-01-28,NONE,,OFF-0028,REX statement verified.
TRK-2024-06633,LEGIT-2024-5017,CUST-0014,John Lewis Partnership,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,GoodBroker Freight Ltd,10000,pcs,35000.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-01-31,2024-01-31,2024-01-31,DOC_CHECK,,OFF-0050,AEO. Preference applied.
