transaction_id,account_id,customer_id,transaction_type,amount,currency,balance_after,merchant_name,merchant_category,description,status,initiated_at,completed_at,channel,reference_number,failure_reason,notes
TXN-2026-000011,ACC-100006,CUST-B003,DEBIT,67.89,USD,1827.56,Amazon,RETAIL,Online purchase,COMPLETED,2026-03-11 13:45:00,2026-03-11 13:45:00,ONLINE,REF-2026-CC002,,Normal transaction before fraud
TXN-2026-000012,ACC-100006,CUST-B003,DEBIT,450.00,USD,1377.56,Unknown Merchant RU,RETAIL,Purchase — location: Moscow Russia,COMPLETED,2026-03-11 22:34:00,2026-03-11 22:34:00,ONLINE,REF-2026-CC003,,SUSPICIOUS: IP origin Russia. Customer did not authorize. Flagged by fraud system. Dispute filed.
TXN-2026-000013,ACC-100006,CUST-B003,DEBIT,1200.00,USD,1234.56,TechStore International,RETAIL,Electronics purchase — location: Eastern Europe,COMPLETED,2026-03-12 03:17:00,2026-03-12 03:17:00,ONLINE,REF-2026-CC004,,SUSPICIOUS: 3am transaction. Different geolocation from prior transaction within 5 hours. Triggered fraud lock.
TXN-2026-000014,ACC-100006,CUST-B003,DEBIT,89.99,USD,1234.56,Netflix International,SUBSCRIPTION,Streaming subscription charge,FAILED,2026-03-12 03:21:00,,ONLINE,REF-2026-CC005,ACCOUNT_LOCKED,Account locked at 03:20 on 2026-03-12 before this charge processed
TXN-2026-000015,ACC-100007,CUST-B003,CREDIT,200.00,USD,3500.00,Maria Garcia,TRANSFER,Savings deposit,COMPLETED,2026-02-28 10:00:00,2026-02-28 10:00:00,MOBILE,REF-2026-CC006,,Savings unaffected by checking lock
TXN-2026-000016,ACC-100008,CUST-B004,CREDIT,45000.00,USD,45678.90,Okafor Ventures LLC,WIRE,Client project payment Q1 2026,COMPLETED,2026-03-05 14:00:00,2026-03-05 14:20:00,WIRE,REF-2026-DD001,,Incoming wire from client
TXN-2026-000017,ACC-100008,CUST-B004,DEBIT,2500.00,USD,43178.90,Staff Payroll,PAYROLL,Employee salary — March first half,COMPLETED,2026-03-10 09:00:00,2026-03-10 09:00:00,ACH,REF-2026-DD002,,Bi-weekly payroll run
TXN-2026-000018,ACC-100008,CUST-B004,DEBIT,55.00,USD,43123.90,Bistro Downtown,RESTAURANT,Business lunch,COMPLETED,2026-03-14 12:30:00,2026-03-14 12:30:00,POS,REF-2026-DD003,,
TXN-2026-000019,ACC-100010,CUST-B005,CREDIT,5500.00,USD,8900.00,Employer Inc,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-EE001,,
TXN-2026-000020,ACC-100010,CUST-B005,PAYMENT,2222.15,USD,6677.85,Mortgage Servicer LLC,FINANCIAL_SERVICES,Mortgage payment — LOAN-2021-0001 March 2026,COMPLETED,2026-03-01 08:30:00,2026-03-01 08:30:00,ONLINE,REF-2026-EE002,,Auto-pay mortgage
TXN-2026-000021,ACC-100011,CUST-B005,CREDIT,500.00,USD,42000.00,Emily Taylor,TRANSFER,Monthly auto-save from checking,COMPLETED,2026-03-07 08:05:00,2026-03-07 08:05:00,SYSTEM,REF-2026-EE003,,
TXN-2026-000022,ACC-100012,CUST-B006,PAYMENT,545.80,USD,2100.00,Auto Finance Bank,FINANCIAL_SERVICES,Auto loan payment — LOAN-2024-0002 March 2026,COMPLETED,2026-03-01 09:00:00,2026-03-01 09:00:00,ONLINE,REF-2026-FF001,,
TXN-2026-000023,ACC-100012,CUST-B006,DEBIT,89.99,USD,2010.01,Netflix,SUBSCRIPTION,Monthly streaming subscription,COMPLETED,2026-03-15 00:01:00,2026-03-15 00:01:00,ONLINE,REF-2026-FF002,,
TXN-2026-000024,ACC-100012,CUST-B006,DEBIT,42.50,USD,1967.51,Shell Gas Station,GAS,Fuel purchase,COMPLETED,2026-03-13 07:15:00,2026-03-13 07:15:00,POS,REF-2026-FF003,,
TXN-2026-000025,ACC-100013,CUST-B007,DEBIT,55.60,USD,1100.40,Whole Foods Market,GROCERY,Grocery shopping,COMPLETED,2026-03-09 16:45:00,2026-03-09 16:45:00,POS,REF-2026-GG001,,Last transaction before account freeze
TXN-2026-000026,ACC-100013,CUST-B007,PAYMENT,12.99,USD,890.00,Spotify,SUBSCRIPTION,Monthly music subscription,FAILED,2026-03-10 06:00:00,,ONLINE,REF-2026-GG002,ACCOUNT_FROZEN,Account frozen at 04:33 on 2026-03-10 after 5 failed login attempts. All transactions blocked.
TXN-2026-000027,ACC-100015,CUST-B008,DEPOSIT,9800.00,USD,11200.00,Branch Cash Deposit,ATM,Cash deposit — teller verified,COMPLETED,2026-02-14 10:30:00,2026-02-14 10:30:00,BRANCH,REF-2026-HH001,,AML flag #1: cash deposit just below $10k reporting threshold
TXN-2026-000028,ACC-100015,CUST-B008,DEPOSIT,9800.00,USD,20500.00,Branch Cash Deposit,ATM,Cash deposit — teller verified,COMPLETED,2026-02-28 10:15:00,2026-02-28 10:15:00,BRANCH,REF-2026-HH002,,AML flag #2: second cash deposit below threshold within 30 days
TXN-2026-000029,ACC-100015,CUST-B008,DEPOSIT,9800.00,USD,29800.00,Branch Cash Deposit,ATM,Cash deposit — teller verified,COMPLETED,2026-03-14 09:45:00,2026-03-14 09:45:00,BRANCH,REF-2026-HH003,,AML flag #3: third deposit triggers structuring review. Account placed UNDER_REVIEW.
TXN-2026-000030,ACC-100015,CUST-B008,DEBIT,200.00,USD,3200.00,Kroger,GROCERY,Grocery shopping,COMPLETED,2026-03-15 11:20:00,2026-03-15 11:20:00,POS,REF-2026-HH004,,Normal debit purchase. Account allows outbound POS up to $500/day.
TXN-2026-000031,ACC-100016,CUST-B009,CREDIT,7200.00,USD,15678.00,Employer Corp,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-II001,,
TXN-2026-000032,ACC-100016,CUST-B009,PAYMENT,2128.40,USD,13549.60,Home Mortgage Co,FINANCIAL_SERVICES,Mortgage payment — LOAN-2022-0002 March 2026,COMPLETED,2026-03-02 08:30:00,2026-03-02 08:30:00,ONLINE,REF-2026-II002,,
TXN-2026-000033,ACC-100016,CUST-B009,DEBIT,189.99,USD,13359.61,OnlineShop247,RETAIL,Online merchandise purchase,DISPUTED,2026-03-05 19:30:00,,ONLINE,REF-2026-II003,,Customer claims item never received. Case CASE-2026-0005 linked.
TXN-2026-000034,ACC-100017,CUST-B009,CREDIT,1675.00,USD,67000.00,Digital Bank,FINANCIAL_SERVICES,Monthly interest credit on savings,COMPLETED,2026-02-28 23:59:00,2026-02-28 23:59:00,SYSTEM,REF-2026-II004,,
TXN-2026-000035,ACC-100018,CUST-B010,CREDIT,125000.00,USD,89000.00,Major Client Corp,WIRE,B2B project payment invoice #2026-Q1,COMPLETED,2026-03-02 09:00:00,2026-03-02 09:30:00,WIRE,REF-2026-JJ001,,
TXN-2026-000036,ACC-100018,CUST-B010,PAYMENT,4850.00,USD,84150.00,Business Loan Servicer,FINANCIAL_SERVICES,Business loan payment — LOAN-2023-0005 March 2026,COMPLETED,2026-03-01 09:00:00,2026-03-01 09:00:00,ONLINE,REF-2026-JJ002,,
TXN-2026-000037,ACC-100018,CUST-B010,WIRE,85000.00,USD,89000.00,Global Supplier Inc,WIRE,B2B supplier payment — PO-2026-0044,PENDING,2026-03-13 14:00:00,,ONLINE,REF-2026-JJ003,,Wire pending compliance review for large outbound transfer. Expected 1-2 business days.
TXN-2026-000038,ACC-100019,CUST-B011,CREDIT,3800.00,USD,4500.00,Tech Startup Inc,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-KK001,,
TXN-2026-000039,ACC-100019,CUST-B011,PAYMENT,950.00,USD,3550.00,City Properties LLC,RENT,Monthly rent March 2026,COMPLETED,2026-03-01 08:00:00,2026-03-01 08:00:00,ONLINE,REF-2026-KK002,,
TXN-2026-000040,ACC-100019,CUST-B011,PAYMENT,95.50,USD,3454.50,Digital Bank Loans,FINANCIAL_SERVICES,Personal loan payment — LOAN-2024-0004,COMPLETED,2026-03-01 09:00:00,2026-03-01 09:00:00,ONLINE,REF-2026-KK003,,
TXN-2026-000041,ACC-100019,CUST-B011,TRANSFER,800.00,USD,4500.00,Priya Sharma,TRANSFER,ACH transfer to external savings account,PENDING,2026-03-16 10:30:00,,MOBILE,REF-2026-KK004,,Pending — ACH processing 1 business day. Expected to post 2026-03-17.
TXN-2026-000042,ACC-100019,CUST-B011,PAYMENT,75.00,USD,3479.50,State Farm Insurance,FINANCIAL_SERVICES,Monthly insurance premium,FAILED,2026-03-13 00:01:00,,ONLINE,REF-2026-KK005,CARD_EXPIRED,Debit card on file expired. Customer needs to update payment method.
TXN-2026-000043,ACC-100020,CUST-B012,CREDIT,2800.00,USD,1800.00,Retail Co,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-LL001,,
TXN-2026-000044,ACC-100020,CUST-B012,DEBIT,750.00,USD,1050.00,Landlord LLC,RENT,Monthly rent March 2026,COMPLETED,2026-03-01 08:00:00,2026-03-01 08:00:00,ONLINE,REF-2026-LL002,,
TXN-2026-000045,ACC-100020,CUST-B012,PAYMENT,2500.00,USD,1800.00,Chase Credit Card,FINANCIAL_SERVICES,Credit card payment — over available balance,FAILED,2026-03-14 10:00:00,,ONLINE,REF-2026-LL003,INSUFFICIENT_FUNDS,Account balance $1800 insufficient for $2500 payment. Transaction rejected.
TXN-2026-000046,ACC-100021,CUST-B013,PAYMENT,1200.00,USD,6200.00,Pacific Properties,RENT,Monthly rent March 2026,COMPLETED,2026-03-01 08:00:00,2026-03-01 08:00:00,ONLINE,REF-2026-MM001,,
TXN-2026-000047,ACC-100021,CUST-B013,CREDIT,4500.00,USD,4500.00,Software Corp,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-MM002,,
TXN-2026-000048,ACC-100021,CUST-B013,WIRE,5000.00,USD,6200.00,Tanaka Family,WIRE,International wire transfer to Japan — family support,PENDING,2026-03-14 11:00:00,,ONLINE,REF-2026-MM003,,Wire in progress. Estimated delivery 2-3 business days. Compliance review standard for international wires.
TXN-2026-000049,ACC-100022,CUST-B013,CREDIT,500.00,USD,18000.00,Yuki Tanaka,TRANSFER,Transfer from checking to savings,COMPLETED,2026-03-14 11:05:00,2026-03-14 11:05:00,MOBILE,REF-2026-MM004,,
TXN-2026-000050,ACC-100023,CUST-B014,CREDIT,4200.00,USD,3900.00,Healthcare Org,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-NN001,,
TXN-2026-000051,ACC-100023,CUST-B014,DEBIT,1100.00,USD,2800.00,Portland Rentals,RENT,Monthly rent March 2026,COMPLETED,2026-03-01 08:00:00,2026-03-01 08:00:00,ONLINE,REF-2026-NN002,,
TXN-2026-000052,ACC-100024,CUST-B015,PAYMENT,346.15,USD,567.00,Digital Bank Loans,FINANCIAL_SERVICES,Personal loan payment — LOAN-2024-0003 October 2025,COMPLETED,2025-10-01 09:00:00,2025-10-01 09:00:00,ONLINE,REF-2025-OO001,,Last successful loan payment before default
TXN-2026-000053,ACC-100024,CUST-B015,PAYMENT,346.15,USD,567.00,Digital Bank Loans,FINANCIAL_SERVICES,Personal loan payment — LOAN-2024-0003 November 2025,FAILED,2025-11-01 09:00:00,,ONLINE,REF-2025-OO002,INSUFFICIENT_FUNDS,Insufficient funds. Loan moved to delinquent status.
TXN-2026-000054,ACC-100024,CUST-B015,DEBIT,45.00,USD,567.00,Utility Company,UTILITIES,Monthly electricity bill,FAILED,2026-01-15 10:00:00,,ONLINE,REF-2026-OO003,ACCOUNT_LOCKED,Account locked 2026-02-01 due to loan default. All transactions blocked.
TXN-2026-000055,ACC-100025,CUST-B016,CREDIT,3600.00,USD,4100.00,Marketing Agency,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-PP001,,
TXN-2026-000056,ACC-100025,CUST-B016,DEBIT,850.00,USD,3250.00,Charlotte Apartments,RENT,Monthly rent March 2026,COMPLETED,2026-03-01 08:00:00,2026-03-01 08:00:00,ONLINE,REF-2026-PP002,,
TXN-2026-000057,ACC-100026,CUST-B017,CREDIT,38000.00,USD,56000.00,Import Client Corp,WIRE,Client payment for goods — INV-2026-0011,COMPLETED,2026-03-08 10:00:00,2026-03-08 10:30:00,WIRE,REF-2026-QQ001,,
TXN-2026-000058,ACC-100026,CUST-B017,PAYMENT,2934.00,USD,53066.00,Business Loan Servicer,FINANCIAL_SERVICES,Business loan payment — LOAN-2023-0004 March 2026,COMPLETED,2026-03-01 09:00:00,2026-03-01 09:00:00,ONLINE,REF-2026-QQ002,,
TXN-2026-000059,ACC-100026,CUST-B017,PAYMENT,12000.00,USD,56000.00,Vendor Global Ltd,WIRE,Vendor payment — PO-2026-0031,PENDING,2026-03-15 16:00:00,,ONLINE,REF-2026-QQ003,,Wire pending. Estimated 1-2 business days. Balance held but not yet debited.
TXN-2026-000060,ACC-100027,CUST-B018,CREDIT,9500.00,USD,22000.00,Finance Corp,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-RR001,,
TXN-2026-000061,ACC-100027,CUST-B018,PAYMENT,2864.20,USD,19135.80,Mortgage Bank USA,FINANCIAL_SERVICES,Mortgage payment — LOAN-2022-0003 March 2026,COMPLETED,2026-03-03 08:30:00,2026-03-03 08:30:00,ONLINE,REF-2026-RR002,,
TXN-2026-000062,ACC-100028,CUST-B018,CREDIT,5000.00,USD,95000.00,Natasha Wilson,TRANSFER,Transfer from checking to money market,COMPLETED,2026-02-28 10:00:00,2026-02-28 10:00:00,ONLINE,REF-2026-RR003,,
TXN-2026-000063,ACC-100029,CUST-B019,CREDIT,3400.00,USD,3400.00,Startup Inc,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-SS001,,
TXN-2026-000064,ACC-100029,CUST-B019,DEBIT,800.00,USD,2600.00,Landlord LLC,RENT,Monthly rent March 2026,COMPLETED,2026-03-01 08:00:00,2026-03-01 08:00:00,ONLINE,REF-2026-SS002,,
TXN-2026-000065,ACC-100029,CUST-B019,WITHDRAWAL,500.00,USD,3400.00,ATM — Main St Branch,ATM,ATM cash withdrawal,FAILED,2026-03-15 18:30:00,,ATM,REF-2026-SS003,DAILY_LIMIT_REACHED,Daily ATM/debit limit of $1000 already reached earlier today. Withdrawal declined.
TXN-2026-000066,ACC-100029,CUST-B019,TRANSFER,500.00,USD,3400.00,Venmo Transfer,TRANSFER,P2P transfer via Venmo,PENDING,2026-03-15 20:00:00,,MOBILE,REF-2026-SS004,,Transfer initiated via mobile app. Processing overnight.
TXN-2026-000067,ACC-100030,CUST-B020,CREDIT,3200.00,USD,2800.00,Boutique Corp,PAYROLL,Monthly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-TT001,,
TXN-2026-000068,ACC-100030,CUST-B020,WIRE,1500.00,USD,1300.00,Laurent Family France,WIRE,International wire transfer to France — family,COMPLETED,2026-03-10 10:00:00,2026-03-10 10:45:00,ONLINE,REF-2026-TT002,,EUR equivalent transferred. Exchange rate applied.
TXN-2026-000069,ACC-100030,CUST-B020,PAYMENT,375.00,USD,2800.00,Digital Bank Loans,FINANCIAL_SERVICES,Personal loan payment — LOAN-2022-0004 March 2026,COMPLETED,2026-03-01 09:00:00,2026-03-01 09:00:00,ONLINE,REF-2026-TT003,,
TXN-2026-000070,ACC-100004,CUST-B002,CREDIT,5000.00,USD,85000.00,Digital Bank,FINANCIAL_SERVICES,Monthly interest credit on savings,COMPLETED,2026-02-28 23:59:00,2026-02-28 23:59:00,SYSTEM,REF-2026-BB006,,Interest at 3.00% APY prorated monthly
