account_id,customer_id,account_type,account_number_masked,currency,current_balance,available_balance,status,lock_reason,opened_date,last_activity_date,interest_rate_pct,overdraft_limit,daily_transfer_limit,notes
ACC-100015,CUST-B008,CHECKING,****4455,USD,3200.00,3200.00,UNDER_REVIEW,LARGE_CASH_DEPOSITS,2016-09-15,2026-03-14,0.05,0.00,500.00,Under AML review. Three cash deposits of $9,800 within 30 days (Feb 14 Feb 28 Mar 14). Outbound transfers restricted to $500/day pending review.
ACC-100016,CUST-B009,CHECKING,****7766,USD,15678.00,15678.00,ACTIVE,,2014-04-22,2026-03-16,0.05,1000.00,15000.00,Primary checking account
ACC-100017,CUST-B009,SAVINGS,****8899,USD,67000.00,67000.00,ACTIVE,,2014-04-22,2026-02-28,3.00,0.00,5000.00,Long-term savings account
ACC-100018,CUST-B010,CHECKING,****1133,USD,89000.00,89000.00,ACTIVE,,2010-12-01,2026-03-16,0.05,10000.00,100000.00,Business operating account
ACC-100019,CUST-B011,CHECKING,****5544,USD,4500.00,4500.00,ACTIVE,,2022-06-30,2026-03-16,0.05,100.00,2000.00,First account. ACH transfer of $800 pending as of 2026-03-16.
ACC-100020,CUST-B012,CHECKING,****3366,USD,1800.00,1800.00,ACTIVE,,2019-03-18,2026-03-13,0.05,200.00,2000.00,Primary checking account
ACC-100021,CUST-B013,CHECKING,****7788,USD,6200.00,6200.00,ACTIVE,,2018-09-05,2026-03-14,0.05,500.00,10000.00,International wire transfer enabled
ACC-100022,CUST-B013,SAVINGS,****9901,USD,18000.00,18000.00,ACTIVE,,2018-09-05,2026-03-14,2.50,0.00,1000.00,Travel savings account
ACC-100023,CUST-B014,CHECKING,****2244,USD,3900.00,3900.00,ACTIVE,,2020-07-14,2026-03-12,0.05,300.00,3000.00,Account opened after relocation from New York
ACC-100024,CUST-B015,CHECKING,****6655,USD,567.00,0.00,LOCKED,LOAN_DEFAULT,2017-10-20,2026-02-01,0.05,0.00,0.00,Locked on 2026-02-01 due to personal loan LOAN-2024-0003 default (5 months overdue). Collections notified.
ACC-100025,CUST-B016,CHECKING,****4477,USD,4100.00,4100.00,ACTIVE,,2021-01-08,2026-03-14,0.05,400.00,4000.00,Regular checking account
ACC-100026,CUST-B017,CHECKING,****8833,USD,56000.00,56000.00,ACTIVE,,2013-08-25,2026-03-15,0.05,5000.00,75000.00,Business current account. Large vendor payment of $12,000 pending.
ACC-100027,CUST-B018,CHECKING,****1199,USD,22000.00,22000.00,ACTIVE,,2016-03-10,2026-03-16,0.05,2000.00,20000.00,Premium checking account
ACC-100028,CUST-B018,MONEY_MARKET,****3377,USD,95000.00,95000.00,ACTIVE,,2020-09-15,2026-02-28,4.25,0.00,10000.00,Premium money market account
ACC-100029,CUST-B019,CHECKING,****5599,USD,3400.00,3400.00,ACTIVE,,2023-01-15,2026-03-16,0.05,100.00,1000.00,Starter account. Daily ATM limit $500. ATM withdrawal declined on 2026-03-15 — daily limit already reached.
ACC-100030,CUST-B020,CHECKING,****7711,USD,2800.00,2800.00,ACTIVE,,2019-05-22,2026-03-13,0.05,300.00,5000.00,International wire transfer enabled. Regular EUR remittances to France.
